online_order,booking,votes,location,rest_type,cost,types,rating_binary
1,1,775,1,27,800,0,1
1,0,787,1,27,800,0,1
1,0,918,1,22,800,0,1
0,0,88,1,78,300,0,1
0,0,166,4,27,600,0,1
1,0,286,4,27,600,0,1
0,0,8,57,27,800,0,1
1,1,2556,1,29,600,1,1
1,0,324,1,19,700,1,1
1,0,504,1,19,550,1,1
1,0,402,1,19,500,1,1
1,1,150,1,19,600,1,1
1,1,164,1,19,500,1,1
0,0,424,1,19,450,1,1
1,0,918,1,22,800,1,1
1,0,90,1,19,650,1,1
1,0,133,1,19,800,1,1
1,0,144,1,19,700,1,1
0,0,93,1,19,300,1,1
1,0,13,1,19,400,1,0
1,0,62,1,19,400,1,0
1,0,180,1,19,500,1,1
0,0,28,1,19,900,1,1
1,0,62,1,81,600,1,1
0,0,31,1,19,300,1,1
0,0,11,1,19,600,1,0
1,0,75,1,26,200,1,1
0,0,4,1,19,500,1,0
0,0,23,1,19,550,1,0
0,0,148,4,29,550,1,1
1,0,219,4,19,600,1,1
1,0,506,1,78,500,2,0
1,0,35,1,39,500,2,1
1,0,172,1,39,750,2,1
1,0,415,1,78,500,2,1
1,0,230,1,39,650,2,1
1,0,91,1,78,400,2,0
1,0,1647,1,27,600,2,1
1,0,4884,32,27,750,2,1
1,0,17,1,78,150,2,1
1,0,133,4,78,200,2,1
0,0,28,1,65,300,2,1
1,0,286,1,78,500,2,1
1,0,540,1,78,800,2,1
1,1,2556,1,29,600,2,1
0,0,36,1,39,400,2,1
1,0,244,49,78,300,2,1
1,0,804,49,27,450,2,1
1,0,679,68,27,850,2,1
1,0,245,49,78,300,2,0
0,0,21,1,78,450,2,1
1,0,28,87,78,150,2,1
0,0,345,1,40,400,2,1
1,0,618,32,27,750,2,1
0,0,1047,1,78,450,2,1
1,0,627,1,39,450,2,1
1,0,104,1,78,300,2,1
1,1,354,1,27,800,2,1
0,0,55,1,78,200,2,1
1,0,17,1,40,400,2,1
0,0,244,1,27,800,2,1
1,1,163,49,27,800,2,1
1,0,58,4,78,150,2,1
0,1,808,1,27,850,2,1
0,0,78,1,3,150,2,1
1,0,1720,4,78,400,2,1
1,0,34,32,78,100,2,1
0,0,868,1,73,1200,2,1
0,0,39,1,0,300,2,1
1,0,71,4,78,600,2,0
1,0,6,1,92,500,2,1
0,0,520,1,78,300,2,1
0,0,0,1,78,150,2,1
0,0,84,1,39,700,2,0
0,0,299,1,78,300,2,1
0,0,0,1,92,500,2,1
1,0,558,4,78,150,2,1
1,0,28,1,78,300,2,1
0,0,22,1,78,500,2,1
0,0,39,1,78,350,2,1
1,0,153,87,49,500,2,1
1,0,146,1,14,400,2,1
0,0,14,1,88,200,2,0
0,0,42,1,27,700,2,1
0,0,0,1,78,100,2,1
0,0,66,1,0,300,2,1
1,0,4401,32,27,600,2,1
0,0,31,1,78,200,2,0
0,0,7,1,40,500,2,0
0,0,21,1,78,250,2,1
0,0,0,1,39,500,2,1
0,0,0,1,92,400,2,1
0,0,0,1,65,200,2,1
0,0,9,1,40,300,2,0
0,0,283,1,27,600,2,0
0,0,62,1,8,800,2,0
0,0,64,1,78,250,2,1
0,0,39,1,27,950,2,1
0,0,65,1,78,300,2,1
1,0,71,4,40,400,2,1
0,0,52,1,78,300,2,0
0,0,130,1,78,200,2,1
0,0,10,1,78,300,2,0
0,0,45,1,92,400,2,1
0,0,11,1,19,600,2,0
0,0,13,1,0,300,2,0
0,0,8,1,78,300,2,0
0,0,0,1,92,250,2,1
0,0,9,1,78,300,2,0
0,0,4,1,78,300,2,0
0,0,0,1,92,200,2,1
0,0,29,1,78,150,2,0
0,0,8,1,0,400,2,0
0,0,0,1,40,150,2,1
0,0,0,1,0,300,2,1
0,0,0,1,78,200,2,1
0,0,0,1,92,150,2,1
0,0,0,1,40,150,2,1
0,0,0,1,78,250,2,1
0,0,30,1,8,1000,2,0
1,0,201,1,78,300,2,1
0,0,7,1,78,200,2,0
0,0,6,1,78,100,2,0
0,0,17,1,78,200,2,0
0,0,25,1,40,200,2,0
0,0,0,1,39,400,2,1
0,0,0,1,78,350,2,1
0,0,8,1,39,100,2,0
0,0,0,1,78,150,2,1
0,0,0,1,78,150,2,1
0,0,0,1,92,200,2,1
0,0,0,1,78,100,2,1
0,0,0,1,78,400,2,1
0,0,0,1,14,200,2,1
0,0,0,1,17,150,2,1
0,0,0,1,92,400,2,1
0,0,0,1,78,150,2,1
0,0,0,1,78,250,2,1
0,0,0,1,78,250,2,1
0,0,0,1,78,150,2,1
0,0,0,1,38,200,2,1
0,0,0,1,80,350,2,1
0,0,0,1,78,300,2,1
0,0,0,1,92,100,2,1
0,0,0,1,78,150,2,1
1,0,771,1,27,450,2,1
0,0,98,1,8,800,2,0
1,0,47,4,78,200,2,1
1,1,175,32,27,500,2,1
1,0,58,1,78,300,2,1
1,0,540,4,27,650,2,1
1,0,124,49,78,400,2,1
1,0,340,1,92,500,2,1
1,0,505,1,78,450,2,1
0,0,0,1,78,100,2,1
1,0,438,32,40,500,2,1
1,0,264,57,27,750,2,1
1,0,169,49,14,150,2,1
1,0,67,49,78,250,2,0
1,0,97,32,78,350,2,1
1,0,12,4,92,300,2,0
1,0,12,1,78,300,2,0
1,0,195,32,27,800,2,1
1,0,13,4,47,300,2,0
1,0,228,32,19,400,2,1
1,0,70,4,78,150,2,1
1,1,364,32,27,1200,2,1
1,0,107,4,14,150,2,1
1,0,167,49,78,300,2,0
1,0,115,1,88,400,2,1
1,0,27,1,92,400,2,1
1,0,57,1,78,200,2,0
1,0,120,1,78,250,2,1
1,0,15,4,0,400,2,1
1,0,64,4,78,500,2,1
1,0,66,1,78,150,2,1
1,0,290,1,78,450,2,0
1,0,233,4,78,200,2,1
1,0,115,49,78,250,2,1
1,0,119,1,27,700,2,0
1,1,291,32,19,650,2,1
1,0,155,32,14,300,2,1
1,0,305,49,27,700,2,1
1,0,46,1,78,500,2,1
1,0,45,49,78,350,2,0
1,0,38,1,40,150,2,1
1,0,441,1,78,400,2,1
1,0,25,4,78,100,2,1
1,0,630,32,78,200,2,1
1,0,25,49,78,150,2,1
1,0,160,49,78,300,2,1
1,0,287,1,78,350,2,1
1,0,11,4,78,100,2,1
1,0,402,1,19,500,2,1
1,0,469,4,27,750,2,1
1,0,511,49,27,550,2,0
1,0,57,1,78,200,2,1
1,0,14,1,78,300,2,0
1,0,264,1,78,200,2,1
1,0,62,1,19,400,2,0
1,0,693,1,27,750,2,1
1,0,242,32,27,650,2,1
1,0,27,4,40,250,2,1
1,0,163,4,78,500,2,1
1,0,191,4,78,250,2,1
1,0,32,1,78,150,2,0
1,0,247,1,27,500,2,0
1,1,2339,32,27,1500,2,1
1,0,337,32,78,300,2,1
1,0,135,1,27,800,2,1
1,0,172,84,27,700,2,1
1,0,105,1,27,700,2,1
1,0,504,1,19,550,2,1
1,0,36,49,78,200,2,0
1,0,39,49,78,300,2,0
1,0,5,49,27,500,2,0
1,0,0,4,78,300,2,1
1,1,1129,32,27,1300,2,1
1,0,56,49,78,350,2,1
1,0,860,1,40,500,2,1
1,0,412,32,27,700,2,1
1,1,142,32,27,1000,2,1
1,0,23,32,78,400,2,0
1,0,143,32,27,750,2,1
1,1,80,32,27,500,2,0
1,0,16,29,27,400,2,1
1,0,181,32,14,250,2,1
1,0,70,32,78,200,2,1
1,0,164,4,78,600,2,1
1,0,58,49,78,650,2,1
0,0,148,4,29,550,2,1
0,0,206,4,78,450,2,1
0,0,0,4,0,300,2,1
0,0,0,29,40,200,2,1
0,0,16,57,78,300,2,1
0,0,217,4,27,450,2,1
0,0,46,4,78,450,2,1
0,0,148,4,78,150,2,1
0,0,30,4,40,250,2,0
0,0,8,57,27,800,2,1
0,0,4,32,78,250,2,0
0,0,15,4,6,400,2,0
0,0,0,4,78,100,2,1
0,0,0,84,78,300,2,1
0,0,0,32,78,200,2,1
1,0,9,84,78,200,2,0
0,0,0,87,78,350,2,1
1,0,31,57,78,300,2,1
1,0,177,32,27,700,2,0
1,0,22,4,88,250,2,1
1,0,10,49,14,100,2,0
1,0,136,1,78,600,2,1
1,0,35,49,78,250,2,0
1,0,185,32,78,200,2,1
1,0,17,32,19,900,2,0
1,0,155,57,27,400,2,1
1,0,42,1,78,300,2,1
1,0,286,4,27,600,2,1
1,0,160,1,27,700,2,1
1,0,59,1,27,750,2,1
1,0,90,32,27,500,2,0
1,0,51,49,78,350,2,1
1,0,89,32,78,200,2,1
1,0,18,1,78,250,2,1
1,0,40,4,27,600,2,1
1,0,35,4,78,200,2,0
1,0,89,32,78,250,2,0
1,0,11,4,78,150,2,0
1,0,62,1,81,600,2,1
1,0,33,32,40,300,2,1
1,0,32,32,88,250,2,1
1,0,139,32,27,550,2,1
1,0,154,87,78,300,2,0
1,0,14,1,0,350,2,1
1,0,237,1,78,200,2,1
1,0,388,1,27,650,2,1
1,0,0,32,78,300,2,1
1,0,128,49,27,500,2,1
1,1,1875,32,27,1200,2,1
1,0,90,1,19,650,2,1
1,0,7,49,78,250,2,0
1,0,38,84,27,400,2,1
1,0,179,1,39,600,2,1
1,0,43,4,40,250,2,1
