location,location,,,,,rest_type,rest_type,,,,,types,types
0,BTM,,,,,0,Bakery,,,,,0,Buffet
1,Banashankari,,,,,1,"Bakery, Beverage Shop",,,,,1,Cafes
2,Banaswadi,,,,,2,"Bakery, Cafe",,,,,2,Delivery
3,Bannerghatta Road,,,,,3,"Bakery, Dessert Parlor",,,,,3,Desserts
4,Basavanagudi,,,,,4,"Bakery, Food Court",,,,,4,Dine-out
5,Basaveshwara Nagar,,,,,5,"Bakery, Kiosk",,,,,5,Drinks & nightlife
6,Bellandur,,,,,6,"Bakery, Quick Bites",,,,,6,Pubs and bars
7,Bommanahalli,,,,,7,"Bakery, Sweet Shop",,,,,,
8,Brigade Road,,,,,8,Bar,,,,,,
9,Brookefield,,,,,9,"Bar, Cafe",,,,,,
10,CV Raman Nagar,,,,,10,"Bar, Casual Dining",,,,,,
11,Central Bangalore,,,,,11,"Bar, Lounge",,,,,,
12,Church Street,,,,,12,"Bar, Pub",,,,,,
13,City Market,,,,,13,"Bar, Quick Bites",,,,,,
14,Commercial Street,,,,,14,Beverage Shop,,,,,,
15,Cunningham Road,,,,,15,"Beverage Shop, Cafe",,,,,,
16,Domlur,,,,,16,"Beverage Shop, Dessert Parlor",,,,,,
17,East Bangalore,,,,,17,"Beverage Shop, Quick Bites",,,,,,
18,Ejipura,,,,,18,Bhojanalya,,,,,,
19,Electronic City,,,,,19,Cafe,,,,,,
20,Frazer Town,,,,,20,"Cafe, Bakery",,,,,,
21,HBR Layout,,,,,21,"Cafe, Bar",,,,,,
22,HSR,,,,,22,"Cafe, Casual Dining",,,,,,
23,Hebbal,,,,,23,"Cafe, Dessert Parlor",,,,,,
24,Hennur,,,,,24,"Cafe, Food Court",,,,,,
25,Hosur Road,,,,,25,"Cafe, Lounge",,,,,,
26,"ITPL Main Road, Whitefield",,,,,26,"Cafe, Quick Bites",,,,,,
27,Indiranagar,,,,,27,Casual Dining,,,,,,
28,Infantry Road,,,,,28,"Casual Dining, Bar",,,,,,
29,JP Nagar,,,,,29,"Casual Dining, Cafe",,,,,,
30,Jakkur,,,,,30,"Casual Dining, Irani Cafee",,,,,,
31,Jalahalli,,,,,31,"Casual Dining, Lounge",,,,,,
32,Jayanagar,,,,,32,"Casual Dining, Microbrewery",,,,,,
33,Jeevan Bhima Nagar,,,,,33,"Casual Dining, Pub",,,,,,
34,KR Puram,,,,,34,"Casual Dining, Quick Bites",,,,,,
35,Kaggadasapura,,,,,35,"Casual Dining, Sweet Shop",,,,,,
36,Kalyan Nagar,,,,,36,Club,,,,,,
37,Kammanahalli,,,,,37,"Club, Casual Dining",,,,,,
38,Kanakapura Road,,,,,38,Confectionery,,,,,,
39,Kengeri,,,,,39,Delivery,,,,,,
40,Koramangala,,,,,40,Dessert Parlor,,,,,,
41,Koramangala 1st Block,,,,,41,"Dessert Parlor, Bakery",,,,,,
42,Koramangala 2nd Block,,,,,42,"Dessert Parlor, Beverage Shop",,,,,,
43,Koramangala 3rd Block,,,,,43,"Dessert Parlor, Cafe",,,,,,
44,Koramangala 4th Block,,,,,44,"Dessert Parlor, Food Court",,,,,,
45,Koramangala 5th Block,,,,,45,"Dessert Parlor, Kiosk",,,,,,
46,Koramangala 6th Block,,,,,46,"Dessert Parlor, Quick Bites",,,,,,
47,Koramangala 7th Block,,,,,47,"Dessert Parlor, Sweet Shop",,,,,,
48,Koramangala 8th Block,,,,,48,Dhaba,,,,,,
49,Kumaraswamy Layout,,,,,49,Fine Dining,,,,,,
50,Langford Town,,,,,50,"Fine Dining, Bar",,,,,,
51,Lavelle Road,,,,,51,"Fine Dining, Lounge",,,,,,
52,MG Road,,,,,52,"Fine Dining, Microbrewery",,,,,,
53,Magadi Road,,,,,53,Food Court,,,,,,
54,Majestic,,,,,54,"Food Court, Beverage Shop",,,,,,
55,Malleshwaram,,,,,55,"Food Court, Casual Dining",,,,,,
56,Marathahalli,,,,,56,"Food Court, Dessert Parlor",,,,,,
57,Mysore Road,,,,,57,"Food Court, Quick Bites",,,,,,
58,Nagarbhavi,,,,,58,Food Truck,,,,,,
59,Nagawara,,,,,59,Kiosk,,,,,,
60,New BEL Road,,,,,60,Lounge,,,,,,
61,North Bangalore,,,,,61,"Lounge, Bar",,,,,,
62,Old Airport Road,,,,,62,"Lounge, Cafe",,,,,,
63,Old Madras Road,,,,,63,"Lounge, Casual Dining",,,,,,
64,Peenya,,,,,64,"Lounge, Microbrewery",,,,,,
65,RT Nagar,,,,,65,Mess,,,,,,
66,Race Course Road,,,,,66,"Mess, Quick Bites",,,,,,
67,Rajajinagar,,,,,67,Microbrewery,,,,,,
68,Rajarajeshwari Nagar,,,,,68,"Microbrewery, Bar",,,,,,
69,Rammurthy Nagar,,,,,69,"Microbrewery, Casual Dining",,,,,,
70,Residency Road,,,,,70,"Microbrewery, Lounge",,,,,,
71,Richmond Road,,,,,71,"Microbrewery, Pub",,,,,,
72,Sadashiv Nagar,,,,,72,Pop Up,,,,,,
73,Sahakara Nagar,,,,,73,Pub,,,,,,
74,Sanjay Nagar,,,,,74,"Pub, Bar",,,,,,
75,Sankey Road,,,,,75,"Pub, Cafe",,,,,,
76,Sarjapur Road,,,,,76,"Pub, Casual Dining",,,,,,
77,Seshadripuram,,,,,77,"Pub, Microbrewery",,,,,,
78,Shanti Nagar,,,,,78,Quick Bites,,,,,,
79,Shivajinagar,,,,,79,"Quick Bites, Bakery",,,,,,
80,South Bangalore,,,,,80,"Quick Bites, Beverage Shop",,,,,,
81,St. Marks Road,,,,,81,"Quick Bites, Cafe",,,,,,
82,Thippasandra,,,,,82,"Quick Bites, Dessert Parlor",,,,,,
83,Ulsoor,,,,,83,"Quick Bites, Food Court",,,,,,
84,Uttarahalli,,,,,84,"Quick Bites, Kiosk",,,,,,
85,"Varthur Main Road, Whitefield",,,,,85,"Quick Bites, Meat Shop",,,,,,
86,Vasanth Nagar,,,,,86,"Quick Bites, Mess",,,,,,
87,Vijay Nagar,,,,,87,"Quick Bites, Sweet Shop",,,,,,
88,West Bangalore,,,,,88,Sweet Shop,,,,,,
89,Whitefield,,,,,89,"Sweet Shop, Dessert Parlor",,,,,,
90,Wilson Garden,,,,,90,"Sweet Shop, Quick Bites",,,,,,
91,Yelahanka,,,,,91,Takeaway,,,,,,
92,Yeshwantpur,,,,,92,"Takeaway, Delivery",,,,,,
